"key","en","de","el"
"courier.new.monospace","""Courier New"", monospace","",""
"lucida.sans.unicode.lucida.sans.sans.serif","""Lucida Sans Unicode"", ""Lucida Sans"", sans-serif","",""
"palatino.linotype.serif","""Palatino Linotype"", serif","",""
"segoe.ui.sans.serif","""Segoe UI"", sans-serif","",""
"times.new.roman.serif","""Times New Roman"", serif","",""
"trebuchet.ms.sans.serif","""Trebuchet MS"", sans-serif","",""
"128119.operator","&#128119; Operator","",""
"128187.office","&#128187; Office","",""
"8592","&#8592;","",""
"8594","&#8594;","",""
"9733","&#9733;","",""
"9733.9733","&#9733;&#9733;","",""
"9733.9733.9733","&#9733;&#9733;&#9733;","",""
"amp","&amp;","",""
"gt","&gt;","",""
"lt","&lt;","",""
"quot","&quot;","",""
"function.const.params.new.urlsearchparams.window.location.se","(function () { const params = new URLSearchParams(window.location.search); if (params.get(""theme"") === ""futuristic"") { document.documentElement.classList.add(""theme-futuristic""); } })();","",""
"text","...","",""
"add.note","+ Add note","",""
"add.photos","+ Add photos","",""
"client","+ Client","",""
"upload","+ Upload","",""
"1.1","1 / 1","",""
"1.star","1 star+","",""
"2.stars","2 stars+","",""
"2h","2h","",""
"3.stars","3 stars","",""
"4h","4h","",""
"a.user","A user","",""
"active","Active","",""
"active.projects","Active Projects","",""
"active.room","Active room","",""
"add","Add","",""
"add.a.service.team.to.connect.people.areas.files.and.progres","Add a service team to connect people, areas, files, and progress.","",""
"add.area","Add area","",""
"add.at.least.one.active.member.before.creating.a.service.tea","Add at least one active member before creating a Service Team.","",""
"add.at.least.one.service.team.before.assigning.a.task","Add at least one Service Team before assigning a task.","",""
"add.at.least.one.team.member.or.project.manager.before.assig","Add at least one team member or project manager before assigning a task.","",""
"add.category","Add category","",""
"add.client","Add client","",""
"add.equipment","Add equipment","",""
"add.file","Add File","",""
"add.member","Add member","",""
"add.new.category","Add new category","",""
"add.new.client","Add new client","",""
"add.new.equipment","Add new equipment","",""
"add.new.member","Add new member","",""
