"KEY","EN","DE","EL","IT"
"128119.operator","&#128119; Operator","","",""
"128187.office","&#128187; Office","","",""
"gt","&gt;","","",""
"lt","&lt;","","",""
"add.note","+ Add note","","",""
"add.photos","+ Add photos","","",""
"client","+ Client","","",""
"upload","+ Upload","","",""
"1.star","1 star+","","",""
"2.stars","2 stars+","","",""
"2h","2h","","",""
"3.stars","3 stars","","",""
"4h","4h","","",""
"active","Active","","",""
"active.projects","Active Projects","","",""
"active.room","Active room","","",""
"add","Add","","",""
"add.a.service.team.to.connect.people.areas.files.and.progres","Add a service team to connect people, areas, files, and progress.","","",""
"add.area","Add area","","",""
"add.at.least.one.active.member.before.creating.a.service.tea","Add at least one active member before creating a Service Team.","","",""
"add.at.least.one.service.team.before.assigning.a.task","Add at least one Service Team before assigning a task.","","",""
"add.at.least.one.team.member.or.project.manager.before.assig","Add at least one team member or project manager before assigning a task.","","",""
"add.category","Add category","","",""
"add.client","Add client","","",""
"add.equipment","Add equipment","","",""
"add.file","Add File","","",""
"add.member","Add member","","",""
"add.new.category","Add new category","","",""
"add.new.client","Add new client","","",""
"add.new.equipment","Add new equipment","","",""
"add.new.member","Add new member","","",""
"add.new.project","Add new project","","",""
"add.note.2","Add Note","","",""
"add.picture","Add Picture","","",""
"add.project","Add project","","",""
"add.project.dates.or.activate.a.project.so.it.appears.in.the","Add project dates or activate a project so it appears in the planner.","","",""
"add.project.information.instructions.or.notes.here","Add project information, instructions, or notes here.","","",""
"add.team","Add team","","",""
"add.to.plans","Add To Plans","","",""
"address","Address","","",""
"admin","Admin","","",""
"admin.can.choose.a.user.type.first.and.then.define.the.permi","Admin can choose a user type first and then define the permissions in the matrix. Edited users are highlighted so extra rights are easy to spot.","","",""
"admins","Admins","","",""
"all.details","All details","","",""
"all.experience","All experience","","",""
"all.positions","All positions","","",""
"all.roles","All roles","","",""
"all.teams","All teams","","",""
"all.types","All types","","",""
"another.member.already.uses.this.email.address","Another member already uses this email address.","","",""
"archive","Archive","","",""
"archived.areas","Archived Areas","","",""
"archived.clients","Archived Clients","","",""
"archived.equipment","Archived Equipment","","",""
"archived.members","Archived Members","","",""
"archived.projects","Archived Projects","","",""
"archived.teams","Archived Teams","","",""
"are.you.sure","Are you sure?","","",""
"area","Area","","",""
"area.explorer","Area Explorer","","",""
"area.explorer.view.mode","Area explorer view mode","","",""
"area.icon","Area Icon","","",""
"area.name","Area name","","",""
"area.uploads","Area Uploads","","",""
"assign.to.project","Assign to Project","","",""
"assigned.member","Assigned member","","",""
"associate.with.area","Associate With Area","","",""
"atu12345678","ATU12345678","","",""
"audit.log","Audit Log","","",""
"back.to.developer","Back to Developer","","",""
"box.view","Box view","","",""
"bullet.summary","Bullet summary","","",""
"call","Call","","",""
"camera.access.was.not.available.on.this.device.browser","Camera access was not available on this device/browser.","","",""
"cancel","Cancel","","",""
"capture","Capture","","",""
"categories","Categories","","",""
"category","Category","","",""
"change.planner.date","Change planner date","","",""
"chat","Chat","","",""
"chat.image","Chat image","","",""
"chat.message.marked.important","Chat Message Marked Important","","",""
"chat.room","Chat Room","","",""
"check.what.the.selected.role.can.see.and.do","Check what the selected role can see and do.","","",""
"choose.a.color.palette.font.family.and.text.size.for.the.who","Choose a color palette, font family, and text size for the whole app.","","",""
"choose.a.strong.color.for.this.team","Choose a strong color for this team.","","",""
"choose.from.popular.workspace.colors.or.open.more.colors","Choose from popular workspace colors or open more colors.","","",""
"choose.what.you.want.to.add","Choose what you want to add.","","",""
"clear","Clear","","",""
"clear.project.search","Clear project search","","",""
"client.2","Client","","",""
"client.and.project.context","Client and project context","","",""
"client.details","Client Details","","",""
"client.list","Client List","","",""
"client.name.or.company.is.required","Client name or company is required.","","",""
"clients","Clients","","",""
"close","Close","","",""
"close.area.explorer","Close area explorer","","",""
"close.category.form","Close category form","","",""
"close.client.form","Close client form","","",""
"close.confirmation","Close confirmation","","",""
"close.equipment.form","Close equipment form","","",""
"close.image.preview","Close image preview","","",""
"close.member.details","Close member details","","",""
"close.member.form","Close member form","","",""
"close.message","Close message","","",""
"close.plans.add.dialog","Close plans add dialog","","",""
"close.project.setup","Close project setup","","",""
"close.service.team.dialog","Close service team dialog","","",""
"close.viber.room.dialog","Close Viber room dialog","","",""
"collapse.client.details","Collapse client details","","",""
"collapse.clients.list","Collapse clients list","","",""
"collapse.equipment.details","Collapse equipment details","","",""
"collapse.equipment.list","Collapse equipment list","","",""
"collapse.member.details","Collapse member details","","",""
"collapse.members.list","Collapse members list","","",""
"collapse.service.team.info","Collapse service team info","","",""
"color.palettes","Color Palettes","","",""
"company","Company","","",""
"completed","Completed","","",""
"completed.projects","Completed Projects","","",""
"confirm","Confirm","","",""
"connect.this.task.with.one.or.more.service.team.entries","Connect this task with one or more Service Team entries.","","",""
"connect.this.task.with.project.pictures","Connect this task with project pictures.","","",""
"content","Content","","",""
"create.a.service.team.and.open.it.to.begin.building.the.proj","Create a Service Team and open it to begin building the project record.","","",""
"create.admins","Create admins","","",""
