"ID","Section","Key","English","Greek proposal","Your correction","Status","Notes"
"1","Main rail","rail.projects","Projects","Έργα","","Proposal","Basic structure / rail"
"2","Main rail","rail.planner","Planner","Προγραμματισμός","","Proposal","Basic structure / rail"
"3","Main rail","rail.daily_works","Daily Works","Ημερήσιες εργασίες","","Proposal","Basic structure / rail"
"4","Main rail","rail.team_members","Team Members","Μέλη ομάδας","","Proposal","Basic structure / rail"
"5","Main rail","rail.equipment","Equipment","Εξοπλισμός","","Proposal","Basic structure / rail"
"6","Main rail","rail.clients","Clients","Πελάτες","","Proposal","Basic structure / rail"
"7","Main rail","rail.ai_assistant","AI Assistant","Βοηθός AI","","Proposal","Basic structure / rail"
"8","Main rail","rail.settings","Settings","Ρυθμίσεις","","Proposal","Basic structure / rail"
"9","Main rail","rail.audit_log","Audit Log","Ιστορικό ελέγχου","","Proposal","Basic structure / rail"
"10","Project workspace","workspace.info","Info","","","Needs Greek","Basic structure / rail"
"11","Project workspace","workspace.plans","Plans","Σχέδια","","Proposal","Basic structure / rail"
"12","Project workspace","workspace.files","Files","Αρχεία","","Proposal","Basic structure / rail"
"13","Project workspace","workspace.tasks","Tasks","Εργασίες","","Proposal","Basic structure / rail"
"14","Project workspace","workspace.pics","Pics","","","Needs Greek","Basic structure / rail"
"15","Project workspace","workspace.chat","Chat","Συνομιλία","","Proposal","Basic structure / rail"
"16","General","","""Courier New"", monospace","","","Needs Greek","Please add/check Greek wording"
"17","General","","""Lucida Sans Unicode"", ""Lucida Sans"", sans-serif","","","Needs Greek","Please add/check Greek wording"
"18","General","","""Palatino Linotype"", serif","","","Needs Greek","Please add/check Greek wording"
"19","General","","""Segoe UI"", sans-serif","","","Needs Greek","Please add/check Greek wording"
"20","General","","""Times New Roman"", serif","","","Needs Greek","Please add/check Greek wording"
"21","General","","""Trebuchet MS"", sans-serif","","","Needs Greek","Please add/check Greek wording"
"22","General","","&#128119; Operator","","","Needs Greek","Please add/check Greek wording"
"23","General","","&#128187; Office","","","Needs Greek","Please add/check Greek wording"
"24","Settings","","(function () { const params = new URLSearchParams(window.location.search); if (params.get(""theme"") === ""futuristic"") { document.documentElement.classList.add(""theme-futuristic""); } })();","","","Needs Greek","Please add/check Greek wording"
"25","Projects","","+ Add note","+ Προσθήκη σημείωση","","Proposal",""
"26","Projects","","+ Add photos","+ Προσθήκη φωτογραφίες","","Proposal",""
"27","Clients","","+ Client","+ Πελάτης","","Proposal",""
"28","General","","+ Upload","+ Upload","","Proposal",""
"29","General","","1 star+","","","Needs Greek","Please add/check Greek wording"
"30","General","","2 stars+","","","Needs Greek","Please add/check Greek wording"
"31","General","","2h","","","Needs Greek","Please add/check Greek wording"
"32","General","","3 stars","","","Needs Greek","Please add/check Greek wording"
"33","General","","4h","","","Needs Greek","Please add/check Greek wording"
"34","General","","A user","","","Needs Greek","Please add/check Greek wording"
"35","General","","Active","","","Needs Greek","Please add/check Greek wording"
"36","Projects","","Active Projects","Ενεργά έργα","","Proposal",""
"37","General","","Active room","","","Needs Greek","Please add/check Greek wording"
"38","General","","Add","Προσθήκη","","Proposal",""
"39","Projects","","Add a service team to connect people, areas, files, and progress.","Προσθήκη a service team to connect people, areas, files, and progress.","","Proposal",""
"40","Projects","","Add area","Προσθήκη περιοχή","","Proposal",""
"41","Team Members","","Add at least one active member before creating a Service Team.","Προσθήκη at least one active member before creating a Service Team.","","Proposal",""
"42","Projects","","Add at least one Service Team before assigning a task.","Προσθήκη at least one Service Team before assigning a task.","","Proposal",""
"43","Team Members","","Add at least one team member or project manager before assigning a task.","Προσθήκη at least one team member or project manager before assigning a task.","","Proposal",""
"44","Equipment","","Add category","Προσθήκη κατηγορία","","Proposal",""
"45","Clients","","Add client","Προσθήκη πελάτης","","Proposal",""
"46","Equipment","","Add equipment","Προσθήκη εξοπλισμός","","Proposal",""
"47","Projects","","Add File","Προσθήκη αρχείο","","Proposal",""
"48","Team Members","","Add member","Προσθήκη μέλος","","Proposal",""
"49","Equipment","","Add new category","Προσθήκη new category","","Proposal",""
"50","Clients","","Add new client","Προσθήκη new client","","Proposal",""
"51","Equipment","","Add new equipment","Προσθήκη new equipment","","Proposal",""
"52","Team Members","","Add new member","Προσθήκη new member","","Proposal",""
"53","Projects","","Add new project","Προσθήκη new project","","Proposal",""
"54","Projects","","Add Note","Προσθήκη σημείωση","","Proposal",""
"55","General","","Add Picture","Προσθήκη Picture","","Proposal",""
"56","Projects","","Add project","Προσθήκη έργο","","Proposal",""
"57","Planner","","Add project dates or activate a project so it appears in the planner.","Προσθήκη project dates or activate a project so it appears in the planner.","","Proposal",""
"58","Projects","","Add project information, instructions, or notes here.","Προσθήκη project information, instructions, or notes here.","","Proposal",""
"59","Projects","","Add to Plans","Προσθήκη to Plans","","Proposal",""
"60","Projects","","Added to Notes","","","Needs Greek","Please add/check Greek wording"
"61","General","","Address","Διεύθυνση","","Proposal",""
"62","Team Members","","Admin","","","Needs Greek","Please add/check Greek wording"
"63","Team Members","","Admin can choose a user type first and then define the permissions in the matrix. Edited users are highlighted so extra rights are easy to spot.","","","Needs Greek","Please add/check Greek wording"
